date,department,initiative,adoption_rate,training_completion,engagement_sentiment,communication_awareness,readiness,resistance_risk,active_users,target_users,initiative_progress
2026-01-01,HR,Workday Rollout,64,70,68,75,66,3.1,320,500,55
2026-01-01,Finance,SAP Upgrade,58,63,61,69,60,3.8,240,430,48
2026-01-01,Operations,RPA Expansion,67,72,66,73,65,3.2,390,540,57
2026-01-01,IT,Zero Trust Program,71,76,70,78,68,2.9,450,580,61
2026-02-01,HR,Workday Rollout,69,75,72,80,71,2.7,360,500,63
2026-02-01,Finance,SAP Upgrade,63,68,66,74,65,3.3,275,430,56
2026-02-01,Operations,RPA Expansion,72,78,71,79,70,2.8,430,540,65
2026-02-01,IT,Zero Trust Program,76,81,74,83,73,2.5,495,580,69
2026-03-01,HR,Workday Rollout,74,81,77,86,76,2.2,405,500,72
2026-03-01,Finance,SAP Upgrade,69,74,72,80,71,2.8,315,430,64
2026-03-01,Operations,RPA Expansion,78,84,77,86,76,2.3,470,540,74
2026-03-01,IT,Zero Trust Program,82,88,80,90,79,2.0,540,580,79
