date,department,initiative,adoption_rate,training_completion,engagement_sentiment,communication_awareness,readiness,resistance_risk,active_users,target_users,initiative_progress
2025-10-01,HR,Digital Onboarding,58,62,64,71,60,3.8,290,500,45
2025-10-01,Finance,ERP Modernization,52,55,58,63,56,4.2,180,420,38
2025-10-01,Operations,Process Automation,61,66,62,68,59,3.6,340,520,47
2025-10-01,Sales,CRM Transformation,57,60,61,67,58,3.9,310,510,42
2025-10-01,IT,Cloud Migration,63,69,65,70,62,3.4,410,560,51
2025-11-01,HR,Digital Onboarding,62,67,66,74,63,3.5,325,500,52
2025-11-01,Finance,ERP Modernization,56,59,60,66,58,4.0,210,420,44
2025-11-01,Operations,Process Automation,65,70,64,71,62,3.3,365,520,54
2025-11-01,Sales,CRM Transformation,60,64,63,70,61,3.6,340,510,49
2025-11-01,IT,Cloud Migration,68,73,69,75,66,3.1,440,560,58
2025-12-01,HR,Digital Onboarding,66,72,69,78,67,3.1,360,500,59
2025-12-01,Finance,ERP Modernization,60,64,63,70,62,3.6,240,420,52
2025-12-01,Operations,Process Automation,70,75,68,76,66,2.9,395,520,62
2025-12-01,Sales,CRM Transformation,65,69,67,74,65,3.2,375,510,57
2025-12-01,IT,Cloud Migration,73,78,72,80,70,2.7,470,560,66
2026-01-01,HR,Digital Onboarding,70,77,72,82,71,2.8,395,500,66
2026-01-01,Finance,ERP Modernization,65,69,67,74,66,3.2,275,420,59
2026-01-01,Operations,Process Automation,74,79,72,80,71,2.5,425,520,69
2026-01-01,Sales,CRM Transformation,69,73,70,78,69,2.9,405,510,63
2026-01-01,IT,Cloud Migration,77,82,75,84,74,2.3,500,560,73
2026-02-01,HR,Digital Onboarding,74,81,75,86,75,2.4,425,500,72
2026-02-01,Finance,ERP Modernization,69,74,71,79,70,2.9,305,420,65
2026-02-01,Operations,Process Automation,78,83,76,85,76,2.1,455,520,75
2026-02-01,Sales,CRM Transformation,73,77,74,82,73,2.5,435,510,70
2026-02-01,IT,Cloud Migration,81,86,79,88,78,2.0,525,560,79
2026-03-01,HR,Digital Onboarding,78,85,79,89,80,2.1,455,500,78
2026-03-01,Finance,ERP Modernization,73,79,75,83,74,2.6,335,420,71
2026-03-01,Operations,Process Automation,82,87,80,89,81,1.9,485,520,82
2026-03-01,Sales,CRM Transformation,77,81,78,86,78,2.2,465,510,76
2026-03-01,IT,Cloud Migration,85,90,83,91,82,1.7,545,560,86
